No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,R dR,R VE,R DE,R v,R dG,dR Ec,dR Tm,VE^2,VE DE,VE Xp,VE Fw,VE I1,VE Ss,VE Cp,VE B,VE G,VE v,VE c11,VE c12,VE c44,DE^2,DE Xp,DE Fw,DE Ec,DE I1,DE Tm,DE Ss,DE Cp,DE Sc,DE B,DE G,DE v,DE c11,DE c12,DE c44,Xp G,dXp dG,Fw I1,Fw Cp,Fw G,Fw c44,I1^2,I1 Cp,I1 G,I1 c44,Ss G,Ss c44,Cp G,Cp c44,G^2,G c12,G c44,c12 c44,c44^2,HV
M-001,149.40261,0.05025746,4.217,0.1304,2.2607,1.474197,0.082853245,4.180449,6.217275,6.79672316,2311.995379,36.94,25.10186,-8.40521304,10.82450984,-1.78663867,129.5969,43.6483,0.342139,191.2874,100.4689,40.6918,0.317836301,0.397637751,132.6976367,25.93949501,5.337496182,2.969116781,0.677467914,0.071721523,0.080347178,0.839355748,0.386479382,0.695241489,0.68893339,0.029211816,0.030677131,0.018919918,0.030086688,0.057582192,0.156662321,0.054864256,0.075967433,0.036229244,0.048975019,0.063422459,0.064063135,0.059745474,0.026584553,0.038537707,0.047448297,0.174789157,0.060766806,0.164055877,0.118909132,0.064712341,0.848629748,0.066312754,0.031226752,0.062049851,0.053355082,0.057210281,0.0398687,0.051804183,0.180328273,0.060565104,0.034882931,0.065861929,0.124469672,0.169134373,0.253937248,0.083504256,0.128657727,0.174682559,0.22628795,0.089840399,0.144434806,0.037122747,0.052897504,0.048594326,0.078139764,0.063555142,427
M-002,149.69412,0.050428193,4.2723,0.0909,2.3634,1.468035,0.082652236,4.175946,6.345729,6.8335893,2374.623696,37.33263,25.14294,-5.68481328,8.32891248,-1.767684691,131.7141,44.541,0.340875,195.2532,101.7171,41.0868,0.310313713,0.386644983,135.1519059,29.21601514,5.303093014,2.957142857,0.68140447,0.087313748,0.103458636,0.834835348,0.367789705,0.713197591,0.711624201,0.035500818,0.039203778,0.023570902,0.037373985,0.068673623,0.180763886,0.066009819,0.088239402,0.041782702,0.057520213,0.075424657,0.07368167,0.063922992,0.034996848,0.050245465,0.061721048,0.217724402,0.077159064,0.203033233,0.146687558,0.082871661,0.833889199,0.081807694,0.038385746,0.079969887,0.066890759,0.070248311,0.046525112,0.056644494,0.17335404,0.072154063,0.037894935,0.072103978,0.127515855,0.195482394,0.287084815,0.092136036,0.134034194,0.190323913,0.237136941,0.09815082,0.149023895,0.040937527,0.059797626,0.051715192,0.082863111,0.065672977,396
M-003,149.97733,0.050509063,4.3212,0.0566,2.4531,1.462975,0.082290191,4.172869,6.458601,6.866986,2429.511072,37.68122,25.18366,-3.10419048,5.95280568,-1.735918446,133.5799,45.3255,0.339845,198.7378,102.8219,41.4382,0.303255565,0.37655561,137.3177511,31.9616569,5.279691004,2.947124687,0.68399016,0.101325767,0.123816344,0.831908316,0.350639076,0.727998039,0.730555819,0.041130238,0.04681391,0.027777362,0.043938083,0.078623689,0.202349688,0.07602781,0.099217935,0.046747968,0.065242403,0.086155281,0.08229266,0.067665339,0.042650009,0.060450215,0.074232908,0.256284368,0.091667008,0.238187281,0.171419583,0.098859795,0.82531904,0.095676733,0.04481423,0.095604353,0.079047724,0.081877269,0.052445804,0.060930731,0.166508681,0.083272093,0.042659151,0.077648246,0.130299562,0.219473865,0.317846415,0.099833129,0.138880371,0.204298675,0.24687022,0.105546517,0.153185644,0.044353692,0.065965775,0.054502707,0.08709603,0.067574243,353
M-004,132.42202,0.060582526,6.7175,0.3589,4.6152,1.754705,0.074746756,4.587252,3.870411,7.00916046,1462.512974,28.64331,24.55654,-10.27994776,14.88181496,-1.684487904,144.2713,80.021,0.341759,237.3176,121.0677,76.0976,0.444727357,0.729848121,243.1358727,10.20353317,9.317847367,1.802917984,0.727777392,0.497327878,0.47446059,0.543303078,0.841489646,0.509504236,0.512716899,0.395489551,0.355378191,0.488300816,0.48346671,0.440678765,0.394006604,0.476155585,0.395886246,0.351439693,0.588080479,0.406865609,0.40821458,0.420005233,0.313362048,0.446282375,0.446984153,0.348303779,0.415341125,0.3180674,0.405327232,0.44883812,0.451643362,0.381790179,0.325120394,0.510080897,0.362535101,0.383080282,0.377355766,0.40530313,0.332781264,0.411904693,0.431752938,0.392177951,0.49628002,0.322917788,0.295445094,0.379327011,0.4574479,0.385353521,0.465185197,0.387922189,0.479528857,0.255087119,0.304741137,0.298248312,0.34422534,0.334657514,650
M-005,133.38284,0.063275242,6.0012,0.4285,3.7154,1.730197,0.073438102,4.570515,3.911924,6.87903772,1462.74048,27.98845,24.57396,-16.4109218,16.4109218,-1.475249343,142.4547,82.5914,0.342886,241.766,118.8782,74.5874,0.48084636,0.742870616,251.3761691,1.530995387,9.115716951,1.724812753,0.768639732,0.351222751,0.307843651,0.567486836,0.871280847,0.540582229,0.537959482,0.273443872,0.223712318,0.370000315,0.367033613,0.320033617,0.235624757,0.351520921,0.309407806,0.314081343,0.437631421,0.344373847,0.320002168,0.352563766,0.180580083,0.303402203,0.304157895,0.196617618,0.273574647,0.185082502,0.23938478,0.299281047,0.695360876,0.266242934,0.257300857,0.341011451,0.27063781,0.268039173,0.280901514,0.416856741,0.332789933,0.345004691,0.414695002,0.410576705,0.479294188,0.228160281,0.210921724,0.387465971,0.43146988,0.391409579,0.432662306,0.410057165,0.465375287,0.275340729,0.310932361,0.302350392,0.326252714,0.319737818,640
M-006,129.60526,0.042457954,7.8317,0.0612,5.9586,1.7865,0.074574716,4.705091,4.100797,7.49746274,1773.097848,28.55986,25.1981,-7.3747174,7.80055164,-1.733991145,194.2584,121.8258,0.325053,339.27,158.6601,111.5946,0.35206636,0.395035976,360.993678,18.1885119,10.84946104,1.594558788,0.481089726,0.703124166,0.706707869,0.3852829,0.286174157,0.365726217,0.427645528,0.612653135,0.592271138,0.674021162,0.690937623,0.682608207,0.596531101,0.706997593,0.813907043,0.722906615,0.746058909,0.870394004,0.787445115,0.804878809,0.56498674,0.664180198,0.680994489,0.64782836,0.672674602,0.703878485,0.628782695,0.698733274,0.179781787,0.79778923,0.712361943,0.710501536,0.794618109,0.76301486,0.785836686,0.764199742,0.155734223,0.705370439,0.736088028,0.756529705,0.861889003,0.694341481,0.757181383,0.774001665,0.845754443,0.753342655,0.820932427,0.766698768,0.852601076,0.663967325,0.762625925,0.732680476,0.785182069,0.7714683,135
M-007,127.95604,0.039469396,7.8262,0.0652,5.9784,1.788704,0.067966457,4.709586,4.152866,7.43823348,1776.70504,28.06296,24.90216,-7.2977928,7.52458448,-1.683054352,186.2828,120.1104,0.32413,332.4164,152.5654,106.0436,0.35515257,0.41276912,355.4245639,17.56498296,10.91179984,1.550929811,0.436795303,0.680787272,0.696194061,0.352232984,0.305938127,0.341432077,0.394713004,0.611499467,0.594119088,0.67464665,0.691257418,0.672111229,0.570319457,0.689500754,0.765849419,0.710337382,0.740363393,0.846188533,0.744539602,0.75813996,0.569173492,0.66833406,0.685086329,0.665715423,0.668381159,0.709609197,0.614632611,0.690109791,0.208498032,0.760700478,0.703844764,0.711013206,0.778639111,0.730297241,0.745506345,0.751188326,0.145819784,0.68232843,0.670175136,0.743217335,0.808618855,0.647956616,0.6556682,0.751636824,0.784429508,0.719659246,0.746343219,0.739691194,0.784867817,0.64385722,0.714932523,0.683009759,0.705895565,0.692261616,147
M-008,129.36924,0.044975905,7.6478,0.0706,5.7629,1.755163,0.079338692,4.624343,3.981501,7.4168619,1730.823594,28.58168,25.07615,-7.8464672,8.39940816,-1.751068059,196.965,120.1127,0.321703,336.9431,160.5662,113.7992,0.356498829,0.395299671,354.1596085,17.35303552,9.77913038,1.639834922,0.512000453,0.661075165,0.668184587,0.359512057,0.285451778,0.377539828,0.444015576,0.574518167,0.553062714,0.626144212,0.639953149,0.641117342,0.563585887,0.667319208,0.802533926,0.691245038,0.692084663,0.835423782,0.774547994,0.800993994,0.524352622,0.618815409,0.633742616,0.57992253,0.63234397,0.644155432,0.596640498,0.660487033,0.205388416,0.77882096,0.675751116,0.664284164,0.757392495,0.743297749,0.773944315,0.732485263,0.16915955,0.613469778,0.602323913,0.725138178,0.864348335,0.631309976,0.676507135,0.748781889,0.855173009,0.738990508,0.844042802,0.746876164,0.869083364,0.643883993,0.760590635,0.736942074,0.814606086,0.804046512,182
M-009,128.62056,0.038825213,7.9028,0.0196,6.0791,1.763119,0.078668778,4.643213,4.013937,7.49534886,1774.567671,28.59698,25.12409,-5.24465528,5.85993864,-1.674434124,203.2176,125.3861,0.319051,349.7237,165.3704,118.2872,0.328242937,0.342431258,368.2686956,19.46102228,10.02101334,1.620734675,0.431251289,0.70547438,0.720591728,0.330111394,0.198751216,0.322213778,0.386873603,0.627639879,0.613080936,0.669154635,0.68562612,0.693346159,0.611586958,0.715598898,0.877957473,0.755721166,0.73068694,0.916942049,0.844254599,0.869405989,0.590681667,0.670437872,0.687498718,0.646284108,0.691268233,0.726387066,0.650356968,0.716291192,0.196054422,0.863676648,0.751806722,0.711996507,0.843330859,0.821886895,0.856314812,0.780134176,0.137947404,0.660859723,0.638139157,0.772425774,0.912102345,0.692679685,0.740472103,0.803591446,0.909676026,0.786301269,0.889978243,0.794276416,0.915837104,0.706615852,0.829414382,0.804247731,0.881528382,0.872336654,180
M-010,128.88518,0.041326639,7.8075,0.0385,5.9613,1.759994,0.0789506,4.635755,4.001514,7.46551004,1758.177511,28.58845,25.10381,-6.24459636,6.836265,-1.710621965,200.8799,123.4191,0.320002,344.9519,163.5733,116.612,0.338966953,0.362543627,362.9984206,18.76190318,9.924824877,1.627624087,0.463821117,0.688760164,0.701024384,0.340569004,0.23153067,0.344904623,0.410896835,0.607583057,0.590409101,0.652940773,0.668409305,0.673647312,0.593499584,0.697403614,0.849481707,0.731370612,0.716162348,0.886159719,0.81793881,0.843571744,0.565556843,0.651073542,0.667337413,0.621359806,0.66912044,0.695368532,0.630239045,0.695379421,0.194090506,0.831630854,0.723033473,0.694207638,0.810845041,0.792216885,0.825171033,0.76222507,0.149831319,0.64261117,0.623654747,0.75465467,0.894135998,0.669272311,0.715708321,0.782961099,0.889145607,0.76854032,0.87271053,0.776474173,0.898255766,0.682901466,0.803431464,0.778813804,0.856263476,0.846537607,171
