No,R,dR,VE,PE,DE,Xp,dXp,Fw,Ec,I1,Tm,Ss,Cp,Hmix,absHmix,Sc,B,G,v,c11,c12,c44,dB,dG,2G/1-v,H-TS,Fw6,B/G,HV
M-001,149.40261,0.05025746,4.217,0.1304,2.2607,1.474197,0.082853245,4.180449,6.217275,6.79672316,2311.995379,36.94,25.10186,-8.40521304,10.82450984,-1.78663867,129.5969,43.6483,0.342139,191.2874,100.4689,40.6918,0.317836301,0.397637751,132.6976367,25.93949501,5.337496182,2.969116781,427
M-002,149.69412,0.050428193,4.2723,0.0909,2.3634,1.468035,0.082652236,4.175946,6.345729,6.8335893,2374.623696,37.33263,25.14294,-5.68481328,8.32891248,-1.767684691,131.7141,44.541,0.340875,195.2532,101.7171,41.0868,0.310313713,0.386644983,135.1519059,29.21601514,5.303093014,2.957142857,396
M-003,149.97733,0.050509063,4.3212,0.0566,2.4531,1.462975,0.082290191,4.172869,6.458601,6.866986,2429.511072,37.68122,25.18366,-3.10419048,5.95280568,-1.735918446,133.5799,45.3255,0.339845,198.7378,102.8219,41.4382,0.303255565,0.37655561,137.3177511,31.9616569,5.279691004,2.947124687,353
M-004,132.42202,0.060582526,6.7175,0.3589,4.6152,1.754705,0.074746756,4.587252,3.870411,7.00916046,1462.512974,28.64331,24.55654,-10.27994776,14.88181496,-1.684487904,144.2713,80.021,0.341759,237.3176,121.0677,76.0976,0.444727357,0.729848121,243.1358727,10.20353317,9.317847367,1.802917984,650
M-005,133.38284,0.063275242,6.0012,0.4285,3.7154,1.730197,0.073438102,4.570515,3.911924,6.87903772,1462.74048,27.98845,24.57396,-16.4109218,16.4109218,-1.475249343,142.4547,82.5914,0.342886,241.766,118.8782,74.5874,0.48084636,0.742870616,251.3761691,1.530995387,9.115716951,1.724812753,640
M-006,129.60526,0.042457954,7.8317,0.0612,5.9586,1.7865,0.074574716,4.705091,4.100797,7.49746274,1773.097848,28.55986,25.1981,-7.3747174,7.80055164,-1.733991145,194.2584,121.8258,0.325053,339.27,158.6601,111.5946,0.35206636,0.395035976,360.993678,18.1885119,10.84946104,1.594558788,135
M-007,127.95604,0.039469396,7.8262,0.0652,5.9784,1.788704,0.067966457,4.709586,4.152866,7.43823348,1776.70504,28.06296,24.90216,-7.2977928,7.52458448,-1.683054352,186.2828,120.1104,0.32413,332.4164,152.5654,106.0436,0.35515257,0.41276912,355.4245639,17.56498296,10.91179984,1.550929811,147
M-008,129.36924,0.044975905,7.6478,0.0706,5.7629,1.755163,0.079338692,4.624343,3.981501,7.4168619,1730.823594,28.58168,25.07615,-7.8464672,8.39940816,-1.751068059,196.965,120.1127,0.321703,336.9431,160.5662,113.7992,0.356498829,0.395299671,354.1596085,17.35303552,9.77913038,1.639834922,182
M-009,128.62056,0.038825213,7.9028,0.0196,6.0791,1.763119,0.078668778,4.643213,4.013937,7.49534886,1774.567671,28.59698,25.12409,-5.24465528,5.85993864,-1.674434124,203.2176,125.3861,0.319051,349.7237,165.3704,118.2872,0.328242937,0.342431258,368.2686956,19.46102228,10.02101334,1.620734675,180
M-010,128.88518,0.041326639,7.8075,0.0385,5.9613,1.759994,0.0789506,4.635755,4.001514,7.46551004,1758.177511,28.58845,25.10381,-6.24459636,6.836265,-1.710621965,200.8799,123.4191,0.320002,344.9519,163.5733,116.612,0.338966953,0.362543627,362.9984206,18.76190318,9.924824877,1.627624087,171
